YYYYMMDDHH,CY,LatN/S,LonE/W,VMAX,MSLP,TY
2006-01-14 00:00:00,01, 64N, 752E, 45, 991,TC
2006-01-14 06:00:00,01, 67N, 744E, 45, 991,TC
2006-01-14 12:00:00,01, 68N, 736E, 45, 991,TC
2006-01-14 18:00:00,01, 70N, 728E, 40, 994,TC
2006-09-19 12:00:00,04,194N, 684E, 20, 999,DB
2006-09-19 18:00:00,04,193N, 682E, 25,1002,DB
2006-09-20 00:00:00,04,193N, 678E, 25,1002,DB
2006-09-20 06:00:00,04,194N, 674E, 25,1002,DB
2006-09-20 12:00:00,04,195N, 671E, 25,1002,DB
2006-09-20 18:00:00,04,196N, 668E, 30,1000,DB
2006-09-21 00:00:00,04,196N, 666E, 30,1000,TD
2006-09-21 06:00:00,04,196N, 664E, 30,1000,TD
2006-09-21 12:00:00,04,197N, 663E, 35, 997,TS
2006-09-21 18:00:00,04,199N, 663E, 40, 994,TS
2006-09-22 00:00:00,04,200N, 664E, 45, 991,TC
2006-09-22 06:00:00,04,202N, 665E, 45, 991,TS
2006-09-22 12:00:00,04,203N, 666E, 50, 987,TS
2006-09-22 12:00:00,04,203N, 666E, 50, 987,TS
2006-09-22 18:00:00,04,204N, 668E, 50, 987,TS
2006-09-22 18:00:00,04,204N, 668E, 50, 987,TS
2006-09-23 00:00:00,04,204N, 669E, 50, 987,TS
2006-09-23 00:00:00,04,204N, 669E, 50, 987,TS
2006-09-23 06:00:00,04,205N, 671E, 55, 984,TC
2006-09-23 06:00:00,04,205N, 671E, 55, 984,TC
2006-09-23 12:00:00,04,203N, 672E, 45, 991,TC
2006-09-23 18:00:00,04,202N, 671E, 35, 997,TS
2006-09-24 00:00:00,04,200N, 670E, 30,1000,TD
2006-09-24 06:00:00,04,198N, 669E, 30,1000,TD
2006-09-24 12:00:00,04,196N, 669E, 30,1000,TD
2006-09-24 18:00:00,04,195N, 668E, 30,1000,TD
2007-06-01 06:00:00,02,147N, 700E, 30,1000,TD
2007-06-01 12:00:00,02,150N, 688E, 30,1000,TD
2007-06-01 18:00:00,02,151N, 683E, 30,1000,TD
2007-06-02 00:00:00,02,151N, 678E, 40, 994,TS
2007-06-02 06:00:00,02,151N, 673E, 45, 989,TS
2007-06-02 12:00:00,02,154N, 671E, 55, 982,TS
2007-06-02 18:00:00,02,156N, 672E, 55, 982,TS
2007-06-02 18:00:00,02,156N, 672E, 55, 982,TS
2007-06-03 00:00:00,02,160N, 675E, 60, 978,TS
2007-06-03 00:00:00,02,160N, 675E, 60, 978,TS
2007-06-03 06:00:00,02,169N, 676E, 65, 974,TY
2007-06-03 06:00:00,02,169N, 676E, 65, 974,TY
2007-06-03 12:00:00,02,175N, 668E, 70, 970,TY
2007-06-03 12:00:00,02,175N, 668E, 70, 970,TY
2007-06-03 12:00:00,02,175N, 668E, 70, 970,TY
2007-06-03 18:00:00,02,180N, 661E, 95, 952,TY
2007-06-03 18:00:00,02,180N, 661E, 95, 952,TY
2007-06-03 18:00:00,02,180N, 661E, 95, 952,TY
2007-06-04 06:00:00,02,192N, 649E,135, 904,ST
2007-06-04 06:00:00,02,192N, 649E,135, 904,ST
2007-06-04 06:00:00,02,192N, 649E,135, 904,ST
2007-06-04 12:00:00,02,199N, 641E,145, 914,ST
2007-06-04 12:00:00,02,199N, 641E,145, 914,ST
2007-06-04 12:00:00,02,199N, 641E,145, 914,ST
2007-06-04 18:00:00,02,205N, 633E,140, 898,ST
2007-06-04 18:00:00,02,205N, 633E,140, 898,ST
2007-06-04 18:00:00,02,205N, 633E,140, 898,ST
2007-06-05 00:00:00,02,208N, 625E,135, 904,ST
2007-06-05 00:00:00,02,208N, 625E,135, 904,ST
2007-06-05 00:00:00,02,208N, 625E,135, 904,ST
2007-06-05 06:00:00,02,212N, 617E,125, 916,TY
2007-06-05 06:00:00,02,212N, 617E,125, 916,TY
2007-06-05 06:00:00,02,212N, 617E,125, 916,TY
2007-06-05 12:00:00,02,216N, 611E,115, 937,TY
2007-06-05 12:00:00,02,216N, 611E,115, 937,TY
2007-06-05 12:00:00,02,216N, 611E,115, 937,TY
2007-06-05 18:00:00,02,220N, 606E,110, 941,TY
2007-06-05 18:00:00,02,220N, 606E,110, 941,TY
2007-06-05 18:00:00,02,220N, 606E,110, 941,TY
2007-06-06 00:00:00,02,226N, 600E, 90, 956,TY
2007-06-06 00:00:00,02,226N, 600E, 90, 956,TY
2007-06-06 00:00:00,02,226N, 600E, 90, 956,TY
2007-06-06 06:00:00,02,231N, 595E, 90, 956,TY
2007-06-06 06:00:00,02,231N, 595E, 90, 956,TY
2007-06-06 06:00:00,02,231N, 595E, 90, 956,TY
2007-06-06 12:00:00,02,238N, 592E, 75, 967,TY
2007-06-06 12:00:00,02,238N, 592E, 75, 967,TY
2007-06-06 12:00:00,02,238N, 592E, 75, 967,TY
2007-06-06 18:00:00,02,245N, 589E, 65, 974,TY
2007-06-06 18:00:00,02,245N, 589E, 65, 974,TY
2007-06-07 06:00:00,02,249N, 583E, 45, 989,TS
2009-11-10 00:00:00,04,134N, 711E, 35, 996,TS
2009-11-10 06:00:00,04,142N, 713E, 35, 996,TS
2009-11-10 12:00:00,04,149N, 716E, 45, 989,TS
2009-11-10 18:00:00,04,156N, 720E, 50, 985,TS
2009-11-11 00:00:00,04,165N, 727E, 50, 985,TS
2009-11-11 06:00:00,04,180N, 731E, 45, 989,TS
2009-11-11 12:00:00,04,194N, 738E, 35, 996,TS
2010-05-19 00:00:00,02,109N, 545E, 25,1004,TD
2010-05-19 06:00:00,02,111N, 540E, 30,1000,TD
2010-05-19 12:00:00,02,113N, 535E, 35, 996,TS
2010-05-19 18:00:00,02,114N, 531E, 35, 996,TS
2010-05-20 00:00:00,02,117N, 529E, 40, 993,TS
2010-05-20 06:00:00,02,120N, 527E, 40, 993,TS
2010-05-20 12:00:00,02,122N, 525E, 45, 989,TS
2010-05-20 18:00:00,02,124N, 523E, 45, 989,TS
2010-05-21 00:00:00,02,126N, 521E, 45, 989,TS
2010-05-21 06:00:00,02,127N, 518E, 55, 982,TS
2010-05-21 06:00:00,02,127N, 518E, 55, 982,TS
2010-05-21 12:00:00,02,128N, 519E, 55, 982,TS
2010-05-21 12:00:00,02,128N, 519E, 55, 982,TS
2010-05-21 18:00:00,02,126N, 518E, 50, 985,TS
2010-05-22 00:00:00,02,126N, 515E, 45, 989,TS
2010-05-22 06:00:00,02,126N, 513E, 40, 993,TS
2010-05-22 12:00:00,02,126N, 511E, 35, 996,TS
2010-05-22 18:00:00,02,126N, 507E, 30,1000,TD
2010-05-30 18:00:00,03,145N, 647E, 20,1005,DB
2010-05-31 00:00:00,03,145N, 644E, 25,1004,TD
2010-05-31 06:00:00,03,147N, 642E, 30,1001,TD
2010-05-31 12:00:00,03,150N, 640E, 30,1000,TD
2010-05-31 18:00:00,03,154N, 637E, 35, 996,TS
2010-06-01 00:00:00,03,158N, 632E, 45, 989,TS
2010-06-01 06:00:00,03,163N, 627E, 55, 982,TS
2010-06-01 12:00:00,03,168N, 623E, 60, 978,TS
2010-06-01 12:00:00,03,168N, 623E, 60, 978,TS
2010-06-01 18:00:00,03,171N, 616E, 75, 967,TY
2010-06-01 18:00:00,03,171N, 616E, 75, 967,TY
2010-06-01 18:00:00,03,171N, 616E, 75, 967,TY
2010-06-02 00:00:00,03,174N, 610E, 90, 956,TY
2010-06-02 00:00:00,03,174N, 610E, 90, 956,TY
2010-06-02 00:00:00,03,174N, 610E, 90, 956,TY
2010-06-02 06:00:00,03,178N, 605E,115, 937,TY
2010-06-02 06:00:00,03,178N, 605E,115, 937,TY
2010-06-02 06:00:00,03,178N, 605E,115, 937,TY
2010-06-02 12:00:00,03,182N, 600E,125, 929,TY
2010-06-02 12:00:00,03,182N, 600E,125, 929,TY
2010-06-02 12:00:00,03,182N, 600E,125, 929,TY
2010-06-02 18:00:00,03,184N, 597E,120, 933,TY
2010-06-02 18:00:00,03,184N, 597E,120, 933,TY
2010-06-02 18:00:00,03,184N, 597E,120, 933,TY
2010-06-03 00:00:00,03,185N, 596E,120, 933,TY
2010-06-03 00:00:00,03,185N, 596E,120, 933,TY
2010-06-03 00:00:00,03,185N, 596E,120, 933,TY
2010-06-03 06:00:00,03,191N, 596E,115, 937,TY
2010-06-03 06:00:00,03,191N, 596E,115, 937,TY
2010-06-03 06:00:00,03,191N, 596E,115, 937,TY
2010-06-03 12:00:00,03,200N, 595E,110, 941,TY
2010-06-03 12:00:00,03,200N, 595E,110, 941,TY
2010-06-03 12:00:00,03,200N, 595E,110, 941,TY
2010-06-03 18:00:00,03,208N, 592E,105, 944,TY
2010-06-03 18:00:00,03,208N, 592E,105, 944,TY
2010-06-03 18:00:00,03,208N, 592E,105, 944,TY
2010-06-04 00:00:00,03,215N, 591E, 90, 956,TY
2010-06-04 00:00:00,03,215N, 591E, 90, 956,TY
2010-06-04 00:00:00,03,215N, 591E, 90, 956,TY
2010-06-04 06:00:00,03,223N, 592E, 75, 967,TY
2010-06-04 06:00:00,03,223N, 592E, 75, 967,TY
2010-06-04 06:00:00,03,223N, 592E, 75, 967,TY
2010-06-04 12:00:00,03,230N, 594E, 65, 974,TY
2010-06-04 12:00:00,03,230N, 594E, 65, 974,TY
2010-06-04 18:00:00,03,236N, 597E, 55, 982,TS
2010-06-04 18:00:00,03,236N, 597E, 55, 982,TS
2010-06-05 00:00:00,03,239N, 603E, 45, 989,TS
2010-06-05 06:00:00,03,238N, 610E, 40, 993,TS
2010-06-05 12:00:00,03,235N, 616E, 40, 993,TS
2010-06-05 18:00:00,03,232N, 624E, 35, 996,TS
2010-06-06 00:00:00,03,229N, 641E, 35, 996,TS
2010-06-06 06:00:00,03,234N, 658E, 35, 996,TS
2010-06-06 12:00:00,03,246N, 673E, 30,1000,TD
2011-06-09 18:00:00,01,186N, 706E, 25,1004,TD
2011-06-10 00:00:00,01,190N, 707E, 25,1004,TD
2011-06-10 06:00:00,01,191N, 711E, 25,1004,TD
2011-06-10 12:00:00,01,190N, 717E, 30,1000,TD
2011-06-10 18:00:00,01,191N, 719E, 30, 999,TD
2011-06-11 00:00:00,01,192N, 721E, 30, 998,TD
2011-06-11 06:00:00,01,195N, 720E, 35, 996,TS
2011-06-11 12:00:00,01,200N, 717E, 35, 996,TS
2011-06-11 18:00:00,01,203N, 713E, 35, 996,TS
2011-06-12 06:00:00,01,204N, 703E, 20,1007,DB
2011-06-12 12:00:00,01,209N, 701E, 25,1004,TD
2011-11-01 18:00:00,03,160N, 554E, 30, 998,TD
2011-11-02 00:00:00,03,162N, 552E, 35, 996,TS
2011-11-02 06:00:00,03,165N, 550E, 40, 993,TS
2011-11-02 12:00:00,03,169N, 550E, 40, 993,TS
2011-11-02 18:00:00,03,169N, 548E, 45, 989,TS
2011-11-03 00:00:00,03,168N, 549E, 50, 985,TS
2011-11-03 06:00:00,03,171N, 550E, 55, 982,TS
2011-11-03 12:00:00,03,172N, 553E, 50, 985,TS
2011-11-03 18:00:00,03,171N, 555E, 45, 989,TS
2011-11-04 00:00:00,03,166N, 549E, 40, 993,TS
2011-11-07 12:00:00,04,131N, 605E, 20,1007,DB
2011-11-07 18:00:00,04,132N, 599E, 25,1004,TD
2011-11-08 00:00:00,04,137N, 596E, 30,1000,TD
2011-11-08 06:00:00,04,138N, 591E, 30,1000,TD
2011-11-08 12:00:00,04,143N, 590E, 35, 996,TS
2011-11-08 18:00:00,04,148N, 589E, 35, 996,TS
2011-11-09 00:00:00,04,152N, 587E, 35, 996,TC
2011-11-09 06:00:00,04,155N, 585E, 30,1000,TD
2011-11-09 12:00:00,04,158N, 585E, 30,1000,TD
2011-11-09 18:00:00,04,160N, 586E, 25,1004,TD
2011-11-10 00:00:00,04,163N, 585E, 25,1004,TD
2011-11-10 06:00:00,04,159N, 583E, 25,1004,TD
2011-11-10 12:00:00,04,149N, 588E, 25,1004,TD
2011-11-26 06:00:00,05, 83N, 757E, 30,1000,TD
2011-11-26 12:00:00,05, 89N, 748E, 30,1000,TD
2011-11-26 18:00:00,05, 96N, 740E, 30,1000,TD
2011-11-27 00:00:00,05,104N, 732E, 30,1000,TD
2011-11-27 06:00:00,05,113N, 723E, 30,1000,TD
2011-11-27 12:00:00,05,122N, 714E, 30,1000,TD
2011-11-27 18:00:00,05,130N, 704E, 30,1000,TD
2011-11-28 00:00:00,05,138N, 695E, 30,1000,TD
2011-11-28 06:00:00,05,146N, 687E, 35, 996,TS
2011-11-28 12:00:00,05,151N, 681E, 35, 996,TS
2011-11-28 18:00:00,05,155N, 676E, 35, 996,TS
2011-11-29 00:00:00,05,156N, 671E, 30,1000,TD
2011-11-29 06:00:00,05,157N, 666E, 30,1000,TD
2011-11-29 12:00:00,05,165N, 661E, 30,1000,TD
2011-11-29 18:00:00,05,169N, 653E, 25,1004,TD
2011-11-30 00:00:00,05,171N, 645E, 25,1004,TD
2011-11-30 06:00:00,05,178N, 639E, 25,1004,TD
2011-11-30 12:00:00,05,188N, 633E, 25,1004,TD
2011-11-30 18:00:00,05,189N, 629E, 25,1004,TD
2011-12-01 00:00:00,05,191N, 626E, 25,1004,TD
2011-12-01 06:00:00,05,194N, 623E, 20,1007,DB
2012-10-24 12:00:00,01,105N, 563E, 35, 996,TS
2012-10-24 18:00:00,01,104N, 550E, 35, 996,TS
2012-10-25 00:00:00,01,102N, 537E, 35, 996,TS
2012-10-25 06:00:00,01, 99N, 525E, 35, 996,TS
2012-10-25 12:00:00,01, 96N, 513E, 35, 996,TS
2012-12-22 06:00:00,04, 91N, 636E, 25,1004,DB
2012-12-22 12:00:00,04, 88N, 626E, 25,1004,DB
2012-12-22 18:00:00,04, 85N, 613E, 30,1000,TD
2012-12-23 00:00:00,04, 84N, 598E, 35, 996,TS
2012-12-23 06:00:00,04, 83N, 584E, 35, 996,TS
2012-12-23 12:00:00,04, 85N, 572E, 35, 996,TS
2012-12-23 18:00:00,04, 84N, 559E, 35, 996,TS
2012-12-24 00:00:00,04, 83N, 545E, 35, 996,TS
2012-12-24 06:00:00,04, 77N, 531E, 35, 996,TS
2012-12-24 12:00:00,04, 72N, 519E, 30,1000,TD
2012-12-24 18:00:00,04, 67N, 507E, 25,1004,TD
2013-11-06 18:00:00,03, 75N, 636E, 20,1007,DB
2013-11-07 18:00:00,03, 82N, 579E, 25,1004,TD
2013-11-08 00:00:00,03, 81N, 570E, 20,1007,DB
2013-11-08 06:00:00,03, 79N, 561E, 25,1004,TD
2013-11-08 12:00:00,03, 81N, 550E, 35, 996,TS
2013-11-08 18:00:00,03, 80N, 540E, 40, 993,TS
2013-11-09 00:00:00,03, 80N, 532E, 45, 989,TS
2013-11-09 06:00:00,03, 80N, 529E, 35, 996,TS
2013-11-09 12:00:00,03, 80N, 526E, 35, 996,TS
2013-11-09 18:00:00,03, 80N, 523E, 35, 996,TS
2013-11-10 00:00:00,03, 80N, 520E, 35, 996,TS
2013-11-10 06:00:00,03, 80N, 516E, 40, 993,TS
2013-11-10 12:00:00,03, 82N, 513E, 35, 996,TS
2013-11-10 18:00:00,03, 83N, 507E, 35, 996,TS
2013-11-11 00:00:00,03, 86N, 501E, 35, 996,TS
2013-11-11 06:00:00,03, 90N, 492E, 35, 996,TS
2013-11-11 12:00:00,03, 94N, 480E, 30,1000,TD
2013-11-11 18:00:00,03, 95N, 469E, 25,1004,TD
2013-11-12 00:00:00,03, 98N, 460E, 25,1004,TD
2014-06-09 06:00:00,02,134N, 677E, 30,1000,TD
2014-06-09 12:00:00,02,138N, 685E, 30,1000,TD
2014-06-09 18:00:00,02,145N, 692E, 30,1000,TD
2014-06-10 00:00:00,02,151N, 690E, 35, 996,TS
2014-06-10 06:00:00,02,157N, 686E, 40, 993,TS
2014-06-10 12:00:00,02,161N, 681E, 45, 989,TS
2014-06-10 18:00:00,02,164N, 676E, 50, 985,TS
2014-06-11 00:00:00,02,166N, 672E, 55, 982,TS
2014-06-11 00:00:00,02,166N, 672E, 55, 982,TS
2014-06-11 06:00:00,02,170N, 667E, 55, 982,TS
2014-06-11 06:00:00,02,170N, 667E, 55, 982,TS
2014-06-11 12:00:00,02,175N, 662E, 55, 982,TS
2014-06-11 12:00:00,02,175N, 662E, 55, 982,TS
2014-06-11 18:00:00,02,177N, 657E, 55, 982,TS
2014-06-11 18:00:00,02,177N, 657E, 55, 982,TS
2014-06-12 00:00:00,02,180N, 652E, 55, 982,TS
2014-06-12 00:00:00,02,180N, 652E, 55, 982,TS
2014-06-12 06:00:00,02,182N, 646E, 45, 989,TS
2014-06-12 12:00:00,02,186N, 642E, 40, 993,TS
2014-06-12 18:00:00,02,193N, 641E, 35, 996,TS
2014-06-13 00:00:00,02,204N, 646E, 25,1004,TD
2014-06-13 06:00:00,02,212N, 640E, 20,1007,DB
2014-06-13 12:00:00,02,214N, 640E, 20,1007,DB
2014-10-24 06:00:00,04,116N, 615E, 20,1007,DB
2014-10-24 12:00:00,04,118N, 617E, 20,1007,DB
2014-10-24 18:00:00,04,120N, 620E, 25,1004,TD
2014-10-25 00:00:00,04,123N, 623E, 30,1000,TD
2014-10-25 06:00:00,04,129N, 624E, 30,1000,TD
2014-10-25 12:00:00,04,135N, 628E, 35, 996,TS
2014-10-25 18:00:00,04,139N, 630E, 35, 996,TS
2014-10-26 00:00:00,04,141N, 630E, 40, 993,TS
2014-10-26 06:00:00,04,142N, 630E, 45, 989,TS
2014-10-26 12:00:00,04,143N, 630E, 55, 982,TS
2014-10-26 12:00:00,04,143N, 630E, 55, 982,TS
2014-10-26 18:00:00,04,145N, 629E, 55, 982,TS
2014-10-26 18:00:00,04,145N, 629E, 55, 982,TS
2014-10-27 00:00:00,04,147N, 628E, 65, 974,TY
2014-10-27 00:00:00,04,147N, 628E, 65, 974,TY
2014-10-27 06:00:00,04,148N, 625E, 70, 970,TY
2014-10-27 06:00:00,04,148N, 625E, 70, 970,TY
2014-10-27 06:00:00,04,148N, 625E, 70, 970,TY
2014-10-27 12:00:00,04,150N, 623E, 80, 963,TY
2014-10-27 12:00:00,04,150N, 623E, 80, 963,TY
2014-10-27 12:00:00,04,150N, 623E, 80, 963,TY
2014-10-27 18:00:00,04,151N, 621E, 90, 956,TY
2014-10-27 18:00:00,04,151N, 621E, 90, 956,TY
2014-10-27 18:00:00,04,151N, 621E, 90, 956,TY
2014-10-28 00:00:00,04,155N, 617E, 95, 952,TY
2014-10-28 00:00:00,04,155N, 617E, 95, 952,TY
2014-10-28 00:00:00,04,155N, 617E, 95, 952,TY
2014-10-28 06:00:00,04,160N, 617E,100, 948,TY
2014-10-28 06:00:00,04,160N, 617E,100, 948,TY
2014-10-28 06:00:00,04,160N, 617E,100, 948,TY
2014-10-28 12:00:00,04,168N, 618E,115, 937,TY
2014-10-28 12:00:00,04,168N, 618E,115, 937,TY
2014-10-28 12:00:00,04,168N, 618E,115, 937,TY
2014-10-28 18:00:00,04,177N, 616E,115, 937,TY
2014-10-28 18:00:00,04,177N, 616E,115, 937,TY
2014-10-28 18:00:00,04,177N, 616E,115, 937,TY
2014-10-29 00:00:00,04,180N, 616E,105, 944,TY
2014-10-29 00:00:00,04,180N, 616E,105, 944,TY
2014-10-29 00:00:00,04,180N, 616E,105, 944,TY
2014-10-29 06:00:00,04,185N, 618E, 95, 952,TY
2014-10-29 06:00:00,04,185N, 618E, 95, 952,TY
2014-10-29 06:00:00,04,185N, 618E, 95, 952,TY
2014-10-29 12:00:00,04,188N, 622E, 80, 963,TY
2014-10-29 12:00:00,04,188N, 622E, 80, 963,TY
2014-10-29 12:00:00,04,188N, 622E, 80, 963,TY
2014-10-29 18:00:00,04,191N, 629E, 70, 970,TY
2014-10-29 18:00:00,04,191N, 629E, 70, 970,TY
2014-10-29 18:00:00,04,191N, 629E, 70, 970,TY
2014-10-30 00:00:00,04,196N, 635E, 60, 978,TS
2014-10-30 00:00:00,04,196N, 635E, 60, 978,TS
2014-10-30 06:00:00,04,199N, 640E, 50, 985,TS
2014-10-30 12:00:00,04,200N, 645E, 45, 989,TS
2014-10-30 18:00:00,04,204N, 648E, 35, 996,TS
2014-10-31 00:00:00,04,207N, 650E, 30,1000,TD
2014-10-31 06:00:00,04,210N, 651E, 25,1004,TD
2014-10-31 12:00:00,04,214N, 650E, 25,1004,TD
2014-11-01 00:00:00,04,217N, 642E, 20,1007,DB
2014-11-01 06:00:00,04,217N, 638E, 20,1007,DB
2015-06-06 06:00:00,01,131N, 685E, 25,1004,TD
2015-06-06 12:00:00,01,138N, 686E, 25,1004,TD
2015-06-06 18:00:00,01,145N, 686E, 25,1004,TD
2015-06-07 00:00:00,01,152N, 686E, 30,1000,TD
2015-06-07 06:00:00,01,157N, 685E, 40, 993,TS
2015-06-07 12:00:00,01,164N, 685E, 40, 993,TS
2015-06-07 18:00:00,01,172N, 685E, 40, 993,TS
2015-06-08 00:00:00,01,179N, 676E, 40, 993,TS
2015-06-08 06:00:00,01,181N, 668E, 45, 989,TS
2015-06-08 12:00:00,01,188N, 663E, 45, 989,TS
2015-06-08 18:00:00,01,194N, 657E, 50, 985,TS
2015-06-09 00:00:00,01,202N, 651E, 50, 985,TS
2015-06-09 06:00:00,01,206N, 641E, 50, 985,TS
2015-06-09 06:00:00,01,206N, 641E, 50, 985,TS
2015-06-09 12:00:00,01,209N, 635E, 50, 985,TS
2015-06-09 18:00:00,01,210N, 627E, 55, 982,TS
2015-06-09 18:00:00,01,210N, 627E, 55, 982,TS
2015-06-10 00:00:00,01,210N, 619E, 55, 982,TS
2015-06-10 00:00:00,01,210N, 619E, 55, 982,TS
2015-06-10 06:00:00,01,209N, 616E, 55, 982,TS
2015-06-10 06:00:00,01,209N, 616E, 55, 982,TS
2015-06-10 12:00:00,01,208N, 614E, 50, 985,TS
2015-06-10 12:00:00,01,208N, 614E, 50, 985,TS
2015-06-10 18:00:00,01,206N, 614E, 45, 989,TS
2015-06-11 00:00:00,01,208N, 610E, 45, 989,TS
2015-06-11 06:00:00,01,208N, 606E, 45, 989,TS
2015-06-11 12:00:00,01,208N, 603E, 40, 993,TS
2015-06-11 18:00:00,01,208N, 601E, 35, 996,TS
2015-06-12 06:00:00,01,207N, 598E, 30,1000,TD
2015-10-07 18:00:00,03,128N, 717E, 30,1000,TD
2015-10-08 00:00:00,03,129N, 715E, 30,1000,TD
2015-10-08 06:00:00,03,129N, 713E, 30,1000,TD
2015-10-08 12:00:00,03,132N, 711E, 30,1000,TD
2015-10-08 18:00:00,03,134N, 709E, 30,1000,TD
2015-10-09 00:00:00,03,136N, 707E, 30,1000,TD
2015-10-09 06:00:00,03,139N, 705E, 35, 996,TS
2015-10-09 12:00:00,03,143N, 702E, 30,1000,TD
2015-10-09 18:00:00,03,147N, 699E, 30,1000,TD
2015-10-10 00:00:00,03,149N, 696E, 30,1000,TD
2015-10-10 06:00:00,03,151N, 694E, 30,1000,TD
2015-10-10 12:00:00,03,153N, 695E, 25,1004,TD
2015-10-10 18:00:00,03,155N, 696E, 25,1004,TD
2015-10-11 00:00:00,03,157N, 695E, 25,1004,TD
2015-10-11 06:00:00,03,159N, 693E, 20,1007,DB
2015-10-27 12:00:00,04,107N, 651E, 25,1004,TD
2015-10-27 18:00:00,04,111N, 649E, 25,1004,TD
2015-10-28 00:00:00,04,116N, 647E, 30,1000,TD
2015-10-28 06:00:00,04,121N, 647E, 35, 996,TS
2015-10-28 12:00:00,04,128N, 649E, 45, 989,TS
2015-10-28 18:00:00,04,131N, 646E, 45, 989,TS
2015-10-29 00:00:00,04,134N, 642E, 50, 985,TS
2015-10-29 06:00:00,04,138N, 637E, 55, 982,TS
2015-10-29 06:00:00,04,138N, 637E, 55, 982,TS
2015-10-29 12:00:00,04,142N, 631E, 65, 974,TY
2015-10-29 12:00:00,04,142N, 631E, 65, 974,TY
2015-10-29 18:00:00,04,142N, 624E, 80, 963,TY
2015-10-29 18:00:00,04,142N, 624E, 80, 963,TY
2015-10-29 18:00:00,04,142N, 624E, 80, 963,TY
2015-10-30 00:00:00,04,142N, 618E,100, 948,TY
2015-10-30 00:00:00,04,142N, 618E,100, 948,TY
2015-10-30 00:00:00,04,142N, 618E,100, 948,TY
